12;20/09/2024;100;D
13;21/09/2024;200;D
14;22/09/2024;50;R
12;23/09/2024;75;R
15;24/09/2024;500;D
12;25/09/2024;30;TO
13;25/09/2024;30;TD14;06/10/2024;100;R
14;06/10/2024;700;R
14;06/10/2024;100;R
14;06/10/2024;1000;R
14;06/10/2024 20:48:44;650;R
14;06/10/2024 20:51:35;10;R
12;06/10/2024 20:51:54;100;R
14;06/10/2024 20:55:45;100;R
14;06/10/2024 20:56:28;1;R
14;17/10/2024 21:38:10;99;R
12;17/10/2024 21:42:42;10;D
15;17/10/2024 21:48:06;100;D
12;17/10/2024 21:48:22;1;T-D
16;17/10/2024 21:48:22;1;T-C
12;17/10/2024 21:51:36;1.5;D
16;17/10/2024 21:51:57;1;R
12;17/10/2024 21:52:21;0.50;T-D
17;17/10/2024 21:52:21;0.50;T-C
